,reals_0,reals_1,reals_2,reals_3,reals_4,reals_5,reals_6,reals_7,imags_0,imags_1,imags_2,imags_3,imags_4,imags_5,imags_6,imags_7
1327,0.9999999999999999,0.999890964560003,0.9995651403497957,0.9990263511975562,0.9982808955682719,0.9973374361594941,0.996206848244081,0.9949020296020658,0.0,0.003370506885052484,0.006719586877000044,0.010026146313079111,0.01326975186148105,0.016430945478516795,0.019491541438406503,0.022434899990957862
1339,0.9999999999999999,0.9985203824726603,0.9953084072671324,0.9930273546616187,0.9935684958838664,0.9964829287176287,0.9993539741993224,0.9998011956044923,0.0,0.0028934577478494966,0.0033877674576976487,0.0010731512972990364,-0.0021310800474216183,-0.0035681111429609956,-0.002046637719219719,0.0011714898300497429
1421,0.9999999999999999,0.999825462237586,0.9993085504438738,0.9984689713177709,0.9973382682289575,0.9959579548061066,0.9943770670199406,0.9926492863336263,0.0,0.0033638874135527995,0.006667211516397133,0.009852602827411766,0.012868882678033412,0.015673678826459512,0.01823549905664561,0.02053513604473578
1436,0.9999999999999999,0.9985203824726603,0.9953084072671324,0.9930273546616187,0.9935684958838665,0.9964829287176289,0.9993539741993224,0.9998011956044923,0.0,0.002893457747849501,0.0033877674576976435,0.0010731512972990123,-0.0021310800474216448,-0.0035681111429609947,-0.0020466377192196773,0.0011714898300498001
1472,0.9999999999999999,0.9998692423303801,0.9994823497225443,0.9988551722517381,0.9980131722106359,0.9969900472313679,0.9958259093062098,0.9945651193138673,0.0,0.0033660225236393634,0.006684146311647486,0.009908949474894657,0.012999828597266803,0.015923077324828706,0.018653588499951176,0.021176087030545136
1492,0.9999999999999999,0.9985203824726603,0.9953084072671324,0.9930273546616187,0.9935684958838665,0.9964829287176289,0.9993539741993224,0.9998011956044923,0.0,0.0028934577478495027,0.003387767457697642,0.0010731512972990045,-0.002131080047421654,-0.0035681111429609947,-0.002046637719219665,0.0011714898300498155
1514,0.9999999999999999,0.9985203824726603,0.9953084072671324,0.9930273546616187,0.9935684958838664,0.9964829287176287,0.9993539741993224,0.9998011956044923,0.0,0.002893457747849498,0.003387767457697647,0.0010731512972990266,-0.0021310800474216287,-0.0035681111429609956,-0.002046637719219703,0.0011714898300497652
1519,0.9999999999999999,0.9997257061875131,0.9989206840668343,0.9976369261027633,0.9959559510761297,0.993981610495802,0.9918309863273711,0.9896242368799192,0.0,0.0033522424181004545,0.006575518635829861,0.009551224354224362,0.012180519254907434,0.014391900730660347,0.016146254602880685,0.01743892796561235
1528,0.9999999999999999,0.9985203824726603,0.9953084072671324,0.9930273546616187,0.9935684958838664,0.9964829287176287,0.9993539741993224,0.9998011956044923,0.0,0.002893457747849495,0.00338776745769765,0.0010731512972990455,-0.0021310800474216088,-0.003568111142960996,-0.0020466377192197354,0.0011714898300497249
1610,0.9999999999999999,0.9997548450240478,0.9990450406846244,0.997944529577447,0.9965667853761341,0.9950514054735616,0.9935476634392941,0.9921970026929866,0.0,0.003348405549286392,0.00654626518839183,0.009460355200591937,0.011990019394921714,0.014078511934258743,0.015719083996273406,0.016955096129647254
1745,0.9999999999999999,0.999725706187513,0.9989206840668343,0.9976369261027633,0.9959559510761298,0.993981610495802,0.9918309863273713,0.9896242368799193,0.0,0.003352242418100443,0.006575518635829842,0.009551224354224334,0.012180519254907408,0.01439190073066032,0.01614625460288067,0.01743892796561234
1751,0.9999999999999999,0.9998413522144693,0.9993685120656942,0.9985907081547333,0.9975230536984462,0.996186152800001,0.9946055648869429,0.9928111424317079,0.0,0.003367108415597353,0.006692529792563449,0.009935559170515761,0.013057428725337475,0.01602220956123923,0.01879763551763973,0.021355826505747976
1780,0.9999999999999999,0.9999658126865726,0.9998633027988114,0.9996926263945787,0.9994540432381717,0.9991479163028087,0.9987747110754913,0.9983349946656283,0.0,0.0033736739934640326,0.006744857738800173,0.010111065507921497,0.013469820603958635,0.016818659854725356,0.020155138079662027,0.02347683252149899
1852,0.9999999999999999,0.9985203824726603,0.9953084072671324,0.9930273546616187,0.9935684958838664,0.9964829287176289,0.9993539741993224,0.9998011956044923,0.0,0.0028934577478494992,0.003387767457697645,0.001073151297299022,-0.002131080047421635,-0.0035681111429609956,-0.002046637719219695,0.0011714898300497771
1892,0.9999999999999999,0.9999821396922591,0.9999285656246718,0.9998392983582663,0.9997143721418412,0.9995538348826142,0.9993577481051766,0.9991261868987982,0.0,0.0033739896043807837,0.006747381797965194,0.01011957955097082,0.013489986595259256,0.016858007804198726,0.020223049571376734,0.023584520187781458
1911,0.9999999999999999,0.9985203824726603,0.9953084072671323,0.9930273546616187,0.9935684958838665,0.996482928717629,0.9993539741993224,0.9998011956044923,0.0,0.0028934577478495122,0.0033877674576976314,0.0010731512972989585,-0.002131080047421705,-0.003568111142960994,-0.0020466377192195854,0.0011714898300499215
1979,0.9999999999999999,0.9998107525193548,0.9992514064835155,0.9983466109652911,0.9971356834076824,0.9956700871685946,0.9940101396321256,0.9922211710123582,0.0,0.0033620163928022567,0.006652443083177646,0.009803865430008961,0.012756942130621743,0.015463768501431233,0.017890482445457875,0.020018941597311556
2010,0.9999999999999999,0.9985203824726603,0.9953084072671324,0.9930273546616187,0.9935684958838665,0.9964829287176289,0.9993539741993224,0.9998011956044923,0.0,0.002893457747849504,0.0033877674576976405,0.0010731512972989995,-0.0021310800474216604,-0.0035681111429609947,-0.0020466377192196556,0.0011714898300498313
2095,0.9999999999999999,0.9998042947931122,0.9992257321611482,0.9982895173948121,0.9970361721768758,0.995519390359688,0.9938032039600038,0.9919586157824791,0.0,0.0033611481601814345,0.006645436058679866,0.009779887066144235,0.012699080659124902,0.015348414431646713,0.017686779372862938,0.019688505025978638
2113,0.9999999999999999,0.9999681972413292,0.9998728421336408,0.9997140940359215,0.9994922180603036,0.9992075843443312,0.9988606670352013,0.9984520429890307,0.0,0.003373706466512733,0.006745117709637192,0.010111943956746377,0.013471906320802992,0.016822742203370822,0.020162210650021887,0.023488097642497555
2181,0.9999999999999999,0.9999495637285138,0.9997985305330643,0.9995477249228673,0.9991985132769807,0.9987527922203155,0.9982129725101244,0.9975819585910478,0.0,0.0033729698222645685,0.006739233377828276,0.010092133866268064,0.013425112959773512,0.016731758894266077,0.02000585319932175,0.02324141563473167
2186,0.9999999999999999,0.9998730100057519,0.9994971382894227,0.9988874110550292,0.9980679909642074,0.9970709049257565,0.9959343589099091,0.994700729530809,0.0,0.003366345672285663,0.006686698869418266,0.00991738343972516,0.013019232760732835,0.01595954327130397,0.018713684548244233,0.021266280449889416
2255,0.9999999999999999,0.9998190140212427,0.9992836036642326,0.9984159470745941,0.9972514887883606,0.9958367628819721,0.9942265421126296,0.9924804946061201,0.0,0.0033630140381050127,0.006660322612556094,0.009829896834416598,0.012816828503263867,0.015576324143668585,0.01807606008784292,0.02029775052558169
2263,0.9999999999999999,0.9998010431863316,0.9992130809176519,0.9982622513704886,0.9969902039831747,0.9954513663689948,0.9937093845747584,0.9918329810567481,0.0,0.003361371186342982,0.0066473427766512135,0.009786990943224848,0.012718039067665,0.015390441501283861,0.017769136792066233,0.01983578475559705
2266,0.9999999999999999,0.9997992314499947,0.9992053960639623,0.9982433619517693,0.9969528033671127,0.9953856665735936,0.993602862941957,0.9916704106056569,0.0,0.0033617460638382998,0.006650284864963936,0.009796605964776831,0.012739814393388832,0.015430511624242582,0.01783341550870784,0.01992904692176879
2292,0.9999999999999999,0.9999735105190337,0.9998940810895107,0.9997618286292538,0.9995769475940904,0.9993397093686817,0.9990504614169758,0.998709626195551,0.0,0.003373801556300712,0.006745878172422693,0.01011450908155592,0.013477981848623364,0.01683459649869619,0.020182669600634664,0.023520538291307975
2315,0.9999999999999999,0.9999519674042878,0.9998081927156288,0.9995696412628939,0.9992379087579426,0.9988152017235072,0.9983043104542856,0.9977085748675057,0.0,0.0033729737366561823,0.006739268834972087,0.010092276736770888,0.013425528137114376,0.01673276035523511,0.02000798203217766,0.02324553431946259
