,reals_0,reals_1,reals_2,reals_3,reals_4,reals_5,reals_6,reals_7,reals_8,reals_9,reals_10,reals_11,reals_12,reals_13,reals_14,reals_15,imags_0,imags_1,imags_2,imags_3,imags_4,imags_5,imags_6,imags_7,imags_8,imags_9,imags_10,imags_11,imags_12,imags_13,imags_14,imags_15
133288,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.03338429761179e-13,4.0445123968157205e-13,5.055640496019651e-13,6.06676859522358e-13,7.077896694427511e-13,8.089024793631441e-13,9.100152892835372e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.213353719044716e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.5166921488058952e-12
133293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039299e-13,2.0222561984078598e-13,3.033384297611791e-13,4.0445123968157195e-13,5.055640496019651e-13,6.066768595223582e-13,7.077896694427511e-13,8.089024793631439e-13,9.10015289283537e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.2133537190447164e-12,1.3144665289651094e-12,1.4155793388855022e-12,1.5166921488058952e-12
133390,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.03338429761179e-13,4.0445123968157205e-13,5.05564049601965e-13,6.06676859522358e-13,7.077896694427511e-13,8.089024793631441e-13,9.100152892835374e-13,1.01112809920393e-12,1.1122409091243232e-12,1.213353719044716e-12,1.3144665289651094e-12,1.4155793388855022e-12,1.516692148805895e-12
133475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.03338429761179e-13,4.0445123968157205e-13,5.055640496019651e-13,6.06676859522358e-13,7.077896694427511e-13,8.089024793631441e-13,9.100152892835372e-13,1.0111280992039302e-12,1.112240909124323e-12,1.213353719044716e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.5166921488058952e-12
133495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039304e-13,2.0222561984078608e-13,3.033384297611791e-13,4.0445123968157216e-13,5.055640496019651e-13,6.066768595223582e-13,7.077896694427509e-13,8.089024793631443e-13,9.100152892835372e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.2133537190447164e-12,1.3144665289651094e-12,1.4155793388855018e-12,1.5166921488058952e-12
133511,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039304e-13,2.0222561984078608e-13,3.03338429761179e-13,4.0445123968157216e-13,5.055640496019649e-13,6.06676859522358e-13,7.077896694427509e-13,8.089024793631443e-13,9.100152892835372e-13,1.0111280992039298e-12,1.1122409091243232e-12,1.213353719044716e-12,1.3144665289651094e-12,1.4155793388855018e-12,1.516692148805895e-12
133528,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.033384297611791e-13,4.0445123968157205e-13,5.055640496019651e-13,6.066768595223582e-13,7.077896694427509e-13,8.089024793631441e-13,9.100152892835372e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.2133537190447164e-12,1.3144665289651092e-12,1.4155793388855018e-12,1.5166921488058956e-12
133532,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.033384297611791e-13,4.0445123968157205e-13,5.055640496019651e-13,6.066768595223582e-13,7.077896694427511e-13,8.089024793631441e-13,9.10015289283537e-13,1.0111280992039302e-12,1.112240909124323e-12,1.2133537190447164e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.5166921488058952e-12
133533,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.03338429761179e-13,4.0445123968157205e-13,5.055640496019651e-13,6.06676859522358e-13,7.077896694427509e-13,8.089024793631441e-13,9.100152892835372e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.213353719044716e-12,1.3144665289651094e-12,1.4155793388855018e-12,1.5166921488058952e-12
133543,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.033384297611791e-13,4.0445123968157205e-13,5.055640496019651e-13,6.066768595223582e-13,7.077896694427511e-13,8.089024793631441e-13,9.100152892835372e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.2133537190447164e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.516692148805895e-12
133545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.033384297611791e-13,4.0445123968157205e-13,5.055640496019651e-13,6.066768595223582e-13,7.077896694427511e-13,8.089024793631441e-13,9.10015289283537e-13,1.0111280992039302e-12,1.112240909124323e-12,1.2133537190447164e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.5166921488058952e-12
133586,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039304e-13,2.0222561984078608e-13,3.0333842976117905e-13,4.0445123968157216e-13,5.055640496019651e-13,6.066768595223581e-13,7.077896694427511e-13,8.089024793631443e-13,9.100152892835372e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.2133537190447162e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.5166921488058952e-12
133701,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.033384297611791e-13,4.0445123968157205e-13,5.055640496019651e-13,6.066768595223582e-13,7.077896694427511e-13,8.089024793631441e-13,9.10015289283537e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.2133537190447164e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.5166921488058952e-12
133707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039299e-13,2.0222561984078598e-13,3.0333842976117905e-13,4.0445123968157195e-13,5.055640496019651e-13,6.066768595223581e-13,7.077896694427509e-13,8.089024793631439e-13,9.100152892835372e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.2133537190447162e-12,1.3144665289651092e-12,1.4155793388855018e-12,1.5166921488058952e-12
133712,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039299e-13,2.0222561984078598e-13,3.0333842976117905e-13,4.0445123968157195e-13,5.05564049601965e-13,6.066768595223581e-13,7.077896694427511e-13,8.089024793631439e-13,9.100152892835372e-13,1.01112809920393e-12,1.112240909124323e-12,1.2133537190447162e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.5166921488058952e-12
133752,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.03338429761179e-13,4.0445123968157205e-13,5.055640496019649e-13,6.06676859522358e-13,7.077896694427511e-13,8.089024793631441e-13,9.100152892835374e-13,1.0111280992039298e-12,1.1122409091243234e-12,1.213353719044716e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.516692148805895e-12
133809,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.0333842976117905e-13,4.0445123968157205e-13,5.055640496019651e-13,6.066768595223581e-13,7.077896694427511e-13,8.089024793631441e-13,9.10015289283537e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.2133537190447162e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.5166921488058956e-12
133852,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039305e-13,2.022256198407861e-13,3.033384297611791e-13,4.044512396815722e-13,5.055640496019651e-13,6.066768595223582e-13,7.077896694427512e-13,8.089024793631444e-13,9.100152892835374e-13,1.0111280992039302e-12,1.112240909124323e-12,1.2133537190447164e-12,1.3144665289651094e-12,1.4155793388855024e-12,1.516692148805895e-12
133920,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039304e-13,2.0222561984078608e-13,3.033384297611791e-13,4.0445123968157216e-13,5.055640496019651e-13,6.066768595223582e-13,7.077896694427512e-13,8.089024793631443e-13,9.100152892835374e-13,1.0111280992039302e-12,1.1122409091243234e-12,1.2133537190447164e-12,1.3144665289651094e-12,1.4155793388855024e-12,1.5166921488058956e-12
133928,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039301e-13,2.0222561984078603e-13,3.0333842976117905e-13,4.0445123968157205e-13,5.055640496019651e-13,6.066768595223581e-13,7.077896694427511e-13,8.089024793631441e-13,9.10015289283537e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.2133537190447162e-12,1.3144665289651092e-12,1.4155793388855022e-12,1.5166921488058952e-12
133936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.01112809920393e-13,2.02225619840786e-13,3.0333842976117905e-13,4.04451239681572e-13,5.055640496019651e-13,6.066768595223581e-13,7.077896694427512e-13,8.08902479363144e-13,9.10015289283537e-13,1.0111280992039302e-12,1.112240909124323e-12,1.2133537190447162e-12,1.3144665289651092e-12,1.4155793388855024e-12,1.5166921488058956e-12
133937,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0111280992039305e-13,2.022256198407861e-13,3.033384297611791e-13,4.044512396815722e-13,5.055640496019651e-13,6.066768595223582e-13,7.077896694427509e-13,8.089024793631444e-13,9.100152892835372e-13,1.0111280992039302e-12,1.1122409091243232e-12,1.2133537190447164e-12,1.3144665289651094e-12,1.4155793388855018e-12,1.516692148805895e-12
