,reals_0,reals_1,reals_2,reals_3,imags_0,imags_1,imags_2,imags_3
2921,1.0,0.9997862204702737,0.9991542516334729,0.9981315796445677,0.0,0.0033611899823467804,0.00664250184725188,0.009768777915837756
2958,1.0,0.9998132998065666,0.9992613695219161,0.9983681989448642,0.0,0.0033628911833881994,0.006655974400570824,0.009813490127315269
2965,1.0,0.9985201430149974,0.9953075848020096,0.9930259947546645,0.0,0.0028939661012853347,0.00338842119389811,0.001073391560330879
2976,1.0,0.9998182417950056,0.9992811102448482,0.9984125143544793,0.0,0.0033630086064117726,0.0066569122985849815,0.009816647286465398
3001,1.0,0.9999661631593721,0.9998647734637452,0.9996961926738892,0.0,0.0033740820407958173,0.006744683681906258,0.010108342805393418
3002,1.0,0.9999367118762124,0.999747463325251,0.9994340921911,0.0,0.0033728176082902014,0.006734594733388706,0.010074441217911677
3010,1.0,0.999891801433512,0.9995716614903968,0.9990527255665915,0.0,0.00336784982740605,0.006695221282812392,0.00994360947711615
3022,1.0,0.9998729883349138,0.9994970524734524,0.9988872211760703,0.0,0.0033669178868201265,0.006687835472992429,0.009919069175489742
3025,1.0,0.9998413252422088,0.9993684047040396,0.998590468554946,0.0,0.0033676807611941373,0.006693667398475114,0.009937248033069215
3045,1.0,0.999891801433512,0.9995716614903968,0.9990527255665915,0.0,0.0033678498274060165,0.00669522128281233,0.009943609477116063
3072,1.0,0.9997403740835864,0.9989855507018587,0.9978050068653634,0.0,0.003349490674549774,0.006551176381068162,0.009472994692991428
3108,1.0,0.9998107203470689,0.9992512792211766,0.9983463298837751,0.0,0.003362587873111788,0.00665357387714172,0.009805531913722031
3174,1.0,0.9999685866143768,0.9998744358682833,0.9997178154483916,0.0,0.003374207932071979,0.006745689877619093,0.010111733464965588
3213,1.0,0.9998132998065666,0.9992613695219161,0.9983681989448644,0.0,0.0033628911833881716,0.006655974400570775,0.0098134901273152
3214,1.0,0.999492027917019,0.9980836710490278,0.9960923131538149,0.0,0.003294949631058772,0.006135366668297685,0.008178922958577457
3217,1.0,0.9999509381561972,0.9998039027220891,0.999559343450912,0.0,0.003373802771656326,0.006742449448912086,0.010100801830408805
3221,1.0,0.9997862204702737,0.9991542516334727,0.9981315796445677,0.0,0.0033611899823467943,0.006642501847251907,0.00976877791583779
3228,1.0,0.9998182417950056,0.9992811102448482,0.9984125143544793,0.0,0.0033630086064117943,0.006656912298585023,0.009816647286465452
3279,1.0,0.9999654155968527,0.9998617633988792,0.9996893458961658,0.0,0.003374131881788351,0.006745081642222852,0.01010968161020898
3309,1.0,0.9997478218676917,0.9989975806635504,0.9977679805610032,0.0,0.0033615769500761495,0.006645056059378613,0.009774410369464125
3394,1.0,0.9999597215398631,0.9998391860039706,0.9996392891040665,0.0,0.0033736960561153865,0.006741605581602192,0.010098009050250094
3397,1.0,0.9999797977992562,0.9999192034276806,0.999818253557809,0.0,0.0033745253259547556,0.006748226485245017,0.010120280227559729
3483,1.0,0.9997991973257108,0.9992052610061756,0.9982430633771078,0.0,0.003362317498219985,0.006651415292254542,0.009798271215129502
3485,1.0,0.9997991973257108,0.9992052610061756,0.9982430633771077,0.0,0.003362317498220005,0.006651415292254579,0.009798271215129554
3492,1.0,0.9999849651911746,0.9999398639048659,0.9998647055597557,0.0,0.0033746003785789748,0.0067488267505244615,0.01012230524733935
3541,1.0,0.9999102972239722,0.9996449724915369,0.9992151979124021,0.0,0.0033688022285640567,0.006702771691736865,0.009968709740214644
3562,1.0,0.9985201309653449,0.9953076097840938,0.993026169442307,0.0,0.002893949581562911,0.0033883433148113084,0.0010733337129461326
3563,1.0,0.998520130965345,0.9953076097840938,0.993026169442307,0.0,0.0028939495815629044,0.0033883433148113157,0.0010733337129461655
3578,1.0,0.9985201309653449,0.9953076097840938,0.993026169442307,0.0,0.0028939495815629157,0.0033883433148113036,0.001073333712946111
3632,1.0,0.998520130965345,0.9953076097840938,0.993026169442307,0.0,0.0028939495815629,0.0033883433148113196,0.0010733337129461827
3634,1.0,0.99975760160297,0.9990354219307913,0.9978484036462444,0.0,0.0033630237329760147,0.0066565027981591,0.009812332304193436
3657,1.0,0.9985201309653449,0.9953076097840938,0.993026169442307,0.0,0.0028939495815629187,0.0033883433148112997,0.0010733337129460946
3762,1.0,0.9999142691730947,0.9996581660470755,0.9992349402894698,0.0,0.003371665909109748,0.006725406826918199,0.01004357599738252
3797,1.0,0.999816658441163,0.9992743004283196,0.9983954483468684,0.0,0.0033633603330888817,0.006659666071857478,0.009825608652613978
3862,1.0,0.9998411420395666,0.999371496182919,0.998611428898675,0.0,0.0033646198234933288,0.006669661752802402,0.009858900580059473
3920,1.0,0.999816658441163,0.9992743004283196,0.9983954483468684,0.0,0.0033633603330888865,0.0066596660718574886,0.00982560865261399
4055,1.0,0.999801009366215,0.9992129471509691,0.9982619559725208,0.0,0.003361942556984179,0.006648472703694227,0.00978865455869849
4066,1.0,0.9997508867244919,0.9990172557408821,0.9978391591475434,0.0,0.003356663132972178,0.006606851158471335,0.009651567302965762
4132,1.0,0.9985201309653449,0.9953076097840938,0.993026169442307,0.0,0.0028939495815629153,0.0033883433148113036,0.001073333712946111
4171,1.0,0.9999153925090974,0.9996619228599152,0.9992406473420126,0.0,0.0033729293188224695,0.006735468853490385,0.010077281780523637
4210,1.0,0.9998107203470689,0.9992512792211766,0.9983463298837751,0.0,0.0033625878731117936,0.00665357387714173,0.009805531913722049
4250,1.0,0.998520130965345,0.9953076097840938,0.993026169442307,0.0,0.002893949581562908,0.003388343314811312,0.00107333371294615
4288,1.0,0.9999730563663609,0.9998922533127561,0.9997576743387673,0.0,0.0033744017725759355,0.0067472383015386534,0.010116946475888127
4375,1.0,0.9998182417950056,0.9992811102448482,0.9984125143544793,0.0,0.003363008606411785,0.006656912298585003,0.009816647286465427
4469,1.0,0.999891801433512,0.9995716614903968,0.9990527255665915,0.0,0.003367849827406035,0.006695221282812365,0.00994360947711611
4483,1.0,0.9997991973257108,0.9992052610061756,0.9982430633771078,0.0,0.0033623174982199866,0.006651415292254545,0.009798271215129505
